ID,Problem,Symptoms,Remedies,Medicines,Source,Dosha Type,Body System,Chronic/Acute,Treatment Type,Contraindications,Preventive Advice,Seasonal Suitability,Gender/Age Relevance,Confidence,Classical Texts,Modern Evidence,Institutional Endorsements,WHO Strategy Reference,Authentication Notes,Auth_Score
1065,Wasting (Kshaya),chronic low energy; poor digestion; sleep disturbances,Apply fresh aloe vera gel topically; keep area clean and dry.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Bakuchi, Cinnamon","Áyurveda Encyclopedia - Ch.23, p.423",Pitta-Kapha,Oral/Teeth,Chronic,Meditation; Topical,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),Children,0.97,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1066,Female Reproductive Disorders,irregular periods; pelvic pain; infertility; discharge,"Gokshura decoction as urinary/reproductive supportive (use per guidance).; Use triphala in home preparations (e.g., triphala tea or paste) as supportive remedy.",Bakuchi,"Áyurveda Encyclopedia - Ch.18, p.445",Vata,Reproductive,Chronic,Herb,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.69,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
1067,Jaundice (Kamala),nausea; vomiting; sour belching; heartburn; acidity,"Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; Use ginger in home preparations (e.g., ginger tea or paste) as supportive remedy.","Bhringraj, Triphala","Áyurveda Encyclopedia - Ch.22, p.402",Tridoshic,Digestive,Chronic,Herb,No oil massage during acute fever,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.86,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.89
1068,Eye Disorders (Netra Roga),weight gain; fatigue; excessive hunger; bloating,"Avoid heavy/fried foods; prefer light dals, steamed vegetables, and spices like cumin/ginger.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Gokshura, Shatavari, Arjuna","Áyurveda Encyclopedia - Ch.24, p.462",Vata-Kapha,Metabolic,Acute,Meditation; Surgery (rare),,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.66,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
1069,Bleeding (Raktapitta),unexplained bleeding; weakness; dizziness; fainting,"Include garlic, ginger, and turmeric in diet moderately; drink warm water with lemon.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.",Turmeric,"Áyurveda Encyclopedia - Ch.22, p.405",Tridoshic,Circulatory,Acute,Aromatherapy,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.91,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
1070,Obesity (Sthaulya),constipation; hard stools; abdominal distension; low appetite,"Jeera-coriander-boiled water (sip warm) after meals for digestion.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Guduchi,"Áyurveda Encyclopedia - Ch.24, p.351",Pitta,Digestive,Acute,Yoga,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.88,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.95
1071,Constipation (Vibandha),constipation; hard stools; abdominal distension; low appetite,"Cooked apples/banana and buttermilk (chaas) for soothing the stomach.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Arjuna, Amalaki (Amla), Ashwagandha","Áyurveda Encyclopedia - Ch.22, p.392",Vata-Pitta,Digestive,Chronic,Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
1072,Venereal Diseases,erectile dysfunction; premature ejaculation; pelvic pain,Gokshura decoction as urinary/reproductive supportive (use per guidance).; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Kutki, Ginger","Áyurveda Encyclopedia - Ch.18, p.473",Pitta,Reproductive,Acute,Aromatherapy; Surgery (rare),Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),Elderly,0.65,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
1073,Constipation (Vibandha),loss of appetite; bloating; belching; abdominal pain; altered bowel habits,Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Neem, Bibhitaki, Triphala","Áyurveda Encyclopedia - Ch.22, p.396",Tridoshic,Digestive,Acute,Lifestyle; Topical,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.89
1074,Venereal Diseases,painful intercourse; recurrent infections; hormonal imbalance,Gokshura decoction as urinary/reproductive supportive (use per guidance).; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Brahmi, Khadira, Ashwagandha","Áyurveda Encyclopedia - Ch.19, p.396",Pitta,Reproductive,Chronic,Meditation,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),Adults,0.88,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
1075,Sinus Infection,dry cough; hoarseness; chest pain on coughing; fever,"Warm ginger-tulsi-honey decoction thrice daily for cough.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Gokshura, Kutki","Áyurveda Encyclopedia - Ch.22, p.386",Pitta-Kapha,Respiratory,Chronic,Diet; Meditation,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.87,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
1076,Prostate Problems,increased thirst; excessive urination; sugar in urine,Cranberry-like local fruits (sour) and buttermilk are soothing; consult if blood present.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Licorice (Yashtimadhu), Shatavari","Áyurveda Encyclopedia - Ch.15, p.475",Tridoshic,Urinary,Acute,Aromatherapy,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.94,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.93
1077,TB (Yakshma),runny nose; sneezing; sinus pressure; post-nasal drip,Steam inhalation with eucalyptus/tulsi/ginger; take slow deep breaths.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Haridra, Licorice (Yashtimadhu)","Áyurveda Encyclopedia - Ch.23, p.477",Vata-Pitta,Respiratory,Chronic,Meditation,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),Male-specific,0.91,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
1078,Allergic Dermatitis,itching; redness; rashes; scaling; pigmentation changes,"Aloe vera gel applied to affected area 1–2 times daily.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.","Gokshura, Coriander","Áyurveda Encyclopedia - Ch.23, p.469",Pitta,Skin,Acute,Diet; Panchakarma,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.68,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
